make,model,variant,ex-showroom_price_inr,displacement_cc,cylinders,valves_per_cylinder,drivetrain,cylinder_configuration,emission_norm,engine_location,fuel_system,fuel_tank_capacity_litres,fuel_type,height_mm,length_mm,width_mm,body_type,doors,arai_certified_mileage_kmpl,kerb_weight_kg,gears,ground_clearance_mm,front_brakes,rear_brakes,front_suspension,rear_suspension,front_track_mm,rear_track_mm,f_tire_diameter_inch,f_tire_aspect_ratio,f_tire_width_mm,r_tire_diameter_inch,r_tire_aspect_ratio,r_tire_width_mm,power_steering,power_windows,power_seats,keyless_entry,power_rpm,power_ps,torque_rpm,torque_nm,odometer,speedometer,tachometer,tripmeter,seating_capacity,seats_material,type,wheelbase_mm,start_/_stop_button,12v_power_outlet,audiosystem,aux-in_compatibility,average_fuel_consumption,basic_warranty_years,bluetooth,boot-lid_opener,boot_space_litres,cd_/_mp3_/_dvd_player,central_locking,child_safety_locks,clock,cup_holders,distance_to_empty,door_pockets,engine_malfunction_light,fm_radio,fuel-lid_opener,fuel_gauge,handbrake,instrument_console,low_fuel_warning,minimum_turning_radius_meter,multifunction_display,sun_visor,third_row_ac_vents,ventilation_system,auto-dimming_rear-view_mirror,hill_assist,gear_indicator,engine_immobilizer,seat_back_pockets,abs_(anti-lock_braking_system),headlight_reminder,adjustable_headrests,gross_vehicle_weight,airbags,door_ajar_warning,ebd_(electronic_brake-force_distribution),fasten_seat_belt_warning,gear_shift_reminder,number_of_airbags,adjustable_steering_column,parking_assistance,key_off_reminder,usb_compatibility,cigarette_lighter,infotainment_screen,multifunction_steering_wheel,average_speed,eba_(electronic_brake_assist),seat_height_adjustment,navigation_system,second_row_ac_vents,rear_center_armrest,ipod_compatibility,esp_(electronic_stability_program),cooled_glove_box,turbocharger,isofix_(child-seat_mount),rain_sensing_wipers,leather_wrapped_steering,automatic_headlamps,asr_/_traction_control,cruise_control
Datsun,Redi-Go,1.0 S,390000,999.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,22.5,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,60.0,80.0,13.0,60.0,80.0,Electric Power,Non Powered,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2348.0,No,Yes,Yes,Yes,Yes,2.0,No,Yes,222.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Datsun,Redi-Go,1.0 S Amt,437065,999.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,23.0,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,80.0,155.0,13.0,80.0,155.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Analog,Yes,Yes,5.0,Fabric,Automatic,2348.0,No,Yes,Yes,Yes,Yes,2.0,No,Yes,222.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,2.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renault,Kwid,Rxe 0.8,353290,799.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,669.0,6.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Non Powered,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,No,Yes,No,No,2.0,No,Yes,300.0,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renault,Kwid,Std 0.8,283290,799.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Non Powered,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2442.0,No,No,Yes,No,No,2.0,No,Yes,300.0,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,53.0,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renault,Kwid,Rxl 0.8,383290,799.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Renault,Kwid,Rxt 0.8,413290,799.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1580.0,Hatchback,5.0,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1.0,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Renault,Kwid,Rxt 1.0,433290,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1.0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Renault,Kwid,Climber 1.0 Mt,454490,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1.0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
Renault,Kwid,Rxt Amt 1.0,463290,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,24.04,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Automatic,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1.0,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No
Renault,Kwid,Climber Amt 1.0,484490,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,24.04,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Automatic,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1.0,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Renault,Kwid,Rxt (O) 1.0,440990,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2.0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Renault,Kwid,Rxt (O) Amt 1.0,470990,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Automatic,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2.0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Renault,Kwid,Climber (O) Mt 1.0,462190,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,All Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Manual,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
Renault,Kwid,Climber (O) Amt 1.0,492190,999.0,3.0,4.0,FWD ,In-line,BS VI,Front-Transverse,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,24.04,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Suspension,Coil Spring Suspension,1520.0,1525.0,14.0,70.0,165.0,14.0,70.0,165.0,Electric Power,All Windows,Non Powered,Yes,5500.0,68.0,4250.0,91.0,Digital,Digital,Yes,Yes,5.0,Fabric,Automatic,2422.0,No,Yes,Yes,Yes,No,2.0,Yes,Yes,300.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.0,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Maruti Suzuki,Eeco,5 Str,352136,1196.0,4.0,4.0,RWD ,In-line,BS VI,Front-Longitudinal,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,5.0,15.0,920.0,5.0,160.0,Ventilated Disc,Drum,MacPherson Suspension,Other Suspension,1280.0,1290.0,16.0,60.0,155.0,16.0,60.0,155.0,Non Powered,Non Powered,Non Powered,Yes,6000.0,73.0,3000.0,101.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2350.0,No,No,Yes,No,No,2.0,No,Yes,400.0,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,45.0,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Maruti Suzuki,Eeco,7 Str,380573,1196.0,4.0,4.0,FWD ,In-line,BS VI,Front-Longitudinal,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,5.0,15.0,940.0,5.0,160.0,Ventilated Disc,Drum,MacPherson Suspension,Other Suspension,1280.0,1290.0,16.0,60.0,155.0,16.0,60.0,155.0,Non Powered,Non Powered,Non Powered,Yes,6000.0,74.0,3000.0,101.0,Digital,Analog,Yes,Yes,7.0,Fabric,Manual,2350.0,No,No,Yes,No,No,2.0,No,Yes,250.0,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,45.0,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196.0,4.0,4.0,RWD ,In-line,BS VI,Front-Longitudinal,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,5.0,15.0,928.0,5.0,160.0,Ventilated Disc,Drum,MacPherson Suspension,Other Suspension,1280.0,1290.0,16.0,60.0,155.0,16.0,60.0,155.0,Non Powered,Non Powered,Non Powered,Yes,6000.0,73.0,3000.0,101.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2350.0,No,No,Yes,No,No,2.0,No,Yes,400.0,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,45.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
